rank,category,name,full_name,description,stars,confidence,signal_agreement,metadata_conf,dependency_conf,readme_conf,html_url,selected,notes
19,1B_2B,ComfyUI-Florence2,kijai/ComfyUI-Florence2,Inference Microsoft Florence2 VLM,1390,0.554,0.667,0.2,0.429,1.0,https://github.com/kijai/ComfyUI-Florence2,Yes,
20,1B_2B,ComfyUI-IF_AI_tools,if-ai/ComfyUI-IF_AI_tools,ComfyUI-IF_AI_tools is a set of custom nodes for ComfyUI that allows you to generate prompts using a local Large Language Model (LLM) via Ollama. This tool enables you to enhance your image generation workflow by leveraging the power of language models.,669,0.551,0.5,0.9,0.143,1.0,https://github.com/if-ai/ComfyUI-IF_AI_tools,Yes,
1,1B_2C,ragbuilder,KruxAI/ragbuilder,A toolkit to create optimal Production-readyRetrieval Augmented Generation(RAG) setup for your data,1465,0.917,1.0,1.0,0.833,1.0,https://github.com/KruxAI/ragbuilder,Yes,
2,1B_2C,restai,apocas/restai,"RESTai is an AIaaS (AI as a Service) open-source platform. Built on top of LlamaIndex & Langchain. Supports any public LLM supported by LlamaIndex and any local LLM suported by Ollama/vLLM/etc. Precise embeddings usage and tuning. Built-in image generation (Dall-E, SD, Flux) and dynamic loading generators.",430,0.917,0.833,1.0,0.833,1.0,https://github.com/apocas/restai,Yes,
3,1B_2C,RAGatouille,AnswerDotAI/RAGatouille,"Easily use and train state of the art late-interaction retrieval methods (ColBERT) in any RAG pipeline. Designed for modularity and ease-of-use, backed by research.",3643,0.833,1.0,1.0,0.667,1.0,https://github.com/AnswerDotAI/RAGatouille,Yes,
4,1B_2C,chat-with-your-data-solution-accelerator,Azure-Samples/chat-with-your-data-solution-accelerator,"A Solution Accelerator for the RAG pattern running in Azure, using Azure AI Search for retrieval and Azure OpenAI large language models to power ChatGPT-style and Q&A experiences. This includes most common requirements and best practices.",1095,0.793,0.667,0.8,0.667,1.0,https://github.com/Azure-Samples/chat-with-your-data-solution-accelerator,Yes,
5,1B_2C,FlagEmbedding,FlagOpen/FlagEmbedding,Retrieval and Retrieval-augmented LLMs,10395,0.786,0.833,1.0,0.571,1.0,https://github.com/FlagOpen/FlagEmbedding,Yes,
6,1B_2C,raggenie,sirocco-ventures/raggenie,"RAGGENIE: An open-source, low-code platform to build custom Retrieval-Augmented Generation (RAG) Copilets with your own data. Simplify AI development with ease!",174,0.75,0.667,1.0,0.5,1.0,https://github.com/sirocco-ventures/raggenie,Yes,
7,1B_2C,DemoGPT,melih-unsal/DemoGPT,"🤖 Everything you need to create an LLM Agent—tools, prompts, frameworks, and models—all in one place.",1861,0.73,0.833,0.9,0.5,1.0,https://github.com/melih-unsal/DemoGPT,Yes,
8,1B_2C,MaxKB,1Panel-dev/MaxKB,🔥 MaxKB is an open-source platform for building enterprise-grade agents.  MaxKB 是强大易用的开源企业级智能体平台。,17815,0.72,0.833,0.7,0.6,0.932,https://github.com/1Panel-dev/MaxKB,Yes,
9,1B_2C,langflow,langflow-ai/langflow,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,104868,0.713,0.5,0.4,0.667,1.0,https://github.com/langflow-ai/langflow,Yes,
10,1B_2C,vec2text,vec2text/vec2text,utilities for decoding deep representations (like sentence embeddings) back to text,930,0.673,0.833,0.2,0.667,1.0,https://github.com/vec2text/vec2text,Yes,
11,1B_2C,Verba,weaviate/Verba,Retrieval Augmented Generation (RAG) chatbot powered by Weaviate,7267,0.67,0.833,0.6,0.5,1.0,https://github.com/weaviate/Verba,Yes,
12,1B_2C,ragstack-ai,datastax/ragstack-ai,RAGStack is an out of the box solution simplifying Retrieval Augmented Generation (RAG) in AI apps.,183,0.667,1.0,1.0,0.333,1.0,https://github.com/datastax/ragstack-ai,Yes,
13,1B_2C,raglite,superlinear-ai/raglite,🥤 RAGLite is a Python toolkit for Retrieval-Augmented Generation (RAG) with DuckDB or PostgreSQL,1056,0.667,0.833,1.0,0.333,1.0,https://github.com/superlinear-ai/raglite,Yes,
14,1B_2C,haystack,deepset-ai/haystack,"AI orchestration framework to build customizable, production-ready LLM applications. Connect components (models, vector DBs, file converters) to pipelines or agents that can interact with your data. With advanced retrieval methods, it's best suited for building RAG, question answering, semantic search or conversational agent chatbots.",21981,0.667,0.667,1.0,0.333,1.0,https://github.com/deepset-ai/haystack,Yes,
15,1B_2C,graphiti,getzep/graphiti,Build Real-Time Knowledge Graphs for AI Agents,17193,0.647,0.833,0.4,0.6,0.89,https://github.com/getzep/graphiti,Yes,
16,1B_2C,pixeltable,pixeltable/pixeltable,"Pixeltable — AI Data infrastructure providing a declarative, incremental approach for multimodal workloads.",741,0.61,0.667,0.3,0.5,1.0,https://github.com/pixeltable/pixeltable,Yes,
17,1B_2C,ChuanhuChatGPT,GaiZhenbiao/ChuanhuChatGPT,"GUI for ChatGPT API and many LLMs. Supports agents, file-based QA, GPT finetuning and query with web search. All with a neat UI.",15437,0.589,0.833,0.6,0.667,0.454,https://github.com/GaiZhenbiao/ChuanhuChatGPT,Yes,
18,1B_2C,AdalFlow,SylphAI-Inc/AdalFlow,AdalFlow: The library to build & auto-optimize LLM applications.,3584,0.571,0.833,0.8,0.429,0.656,https://github.com/SylphAI-Inc/AdalFlow,Yes,
19,1B_2C,LazyLLM,LazyAGI/LazyLLM,Easiest and laziest way for  building multi-agent LLMs applications.,2460,0.565,0.833,1.0,0.333,0.66,https://github.com/LazyAGI/LazyLLM,Yes,
20,1B_2C,localGPT,PromtEngineer/localGPT,Chat with your documents on your local device using GPT models. No data leaves your device and 100% private. ,21802,0.534,0.833,0.1,0.429,1.0,https://github.com/PromtEngineer/localGPT,Yes,
1,1B_2D,CrewAI-Studio,strnad/CrewAI-Studio,"A user-friendly, multi-platform GUI for managing and running CrewAI agents and tasks. Supports Conda and virtual environments, no coding needed. ",977,0.9,1.0,1.0,0.8,1.0,https://github.com/strnad/CrewAI-Studio,Yes,
2,1B_2D,gpt-all-star,kyaukyuai/gpt-all-star,🤖 AI-powered code generation tool for scratch development of web applications with a team collaboration of autonomous AI agents.,199,0.837,0.833,0.6,0.833,1.0,https://github.com/kyaukyuai/gpt-all-star,Yes,
3,1B_2D,gptme,gptme/gptme,"Your agent in your terminal, equipped with local tools: writes code, uses the terminal, browses the web, vision.",3971,0.828,0.833,1.0,0.667,0.984,https://github.com/gptme/gptme,Yes,
4,1B_2D,crewAI-tools,crewAIInc/crewAI-tools,Extend the capabilities of your CrewAI agents with Tools,1214,0.8,1.0,1.0,0.6,1.0,https://github.com/crewAIInc/crewAI-tools,Yes,
5,1B_2D,agent-service-toolkit,JoshuaC215/agent-service-toolkit,"Full toolkit for running an AI agent service built with LangGraph, FastAPI and Streamlit",3477,0.797,0.833,0.4,0.833,1.0,https://github.com/JoshuaC215/agent-service-toolkit,Yes,
6,1B_2D,fastagency,ag2ai/fastagency,The fastest way to bring multi-agent workflows to production.,506,0.793,0.833,0.8,0.667,1.0,https://github.com/ag2ai/fastagency,Yes,
7,1B_2D,AutoAgents,Link-AGI/AutoAgents,[IJCAI 2024] Generate different roles for GPTs to form a collaborative entity for complex tasks.,1400,0.705,0.833,0.1,0.833,0.896,https://github.com/Link-AGI/AutoAgents,Yes,
8,1B_2D,khoj,khoj-ai/khoj,"Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free.",30783,0.694,0.667,0.6,0.833,0.524,https://github.com/khoj-ai/khoj,Yes,
9,1B_2D,gpt_academic,binary-husky/gpt_academic,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss等。",69156,0.633,0.5,0.0,0.667,1.0,https://github.com/binary-husky/gpt_academic,Yes,
10,1B_2D,agentscope,agentscope-ai/agentscope,Start building LLM-empowered multi-agent applications in an easier way.,7748,0.62,0.833,0.6,0.4,1.0,https://github.com/agentscope-ai/agentscope,Yes,
11,1B_2D,avatar,zou-group/avatar,(NeurIPS 2024) AvaTaR: Optimizing LLM Agents for Tool Usage via Contrastive Reasoning ,220,0.603,0.667,0.4,0.667,0.632,https://github.com/zou-group/avatar,Yes,
12,1B_2D,parllama,paulrobello/parllama,TUI for Ollama and other LLM providers,361,0.593,0.833,0.6,0.667,0.464,https://github.com/paulrobello/parllama,Yes,
13,1B_2D,vision-agent,landing-ai/vision-agent,Vision agent,5013,0.59,1.0,0.2,0.5,1.0,https://github.com/landing-ai/vision-agent,Yes,
14,1B_2D,hera,argoproj-labs/hera,Hera makes Python code easy to orchestrate on Argo Workflows through native Python integrations. It lets you construct and submit your Workflows entirely in Python. ⭐️ Remember to star!,762,0.583,0.833,1.0,0.167,1.0,https://github.com/argoproj-labs/hera,Yes,
15,1B_2D,Open-LLM-VTuber,Open-LLM-VTuber/Open-LLM-VTuber,"Talk to any LLM with hands-free voice interaction, voice interruption, and Live2D taking face running locally across platforms",4294,0.562,0.833,0.2,0.667,0.629,https://github.com/Open-LLM-VTuber/Open-LLM-VTuber,Yes,
16,1B_2D,SWE-agent,SWE-agent/SWE-agent,"SWE-agent takes a GitHub issue and tries to automatically fix it, using your LM of choice. It can also be employed for offensive cybersecurity or competitive coding challenges. [NeurIPS 2024] ",17099,0.547,0.667,0.4,0.333,1.0,https://github.com/SWE-agent/SWE-agent,Yes,
17,1B_2D,Agently,AgentEra/Agently,[GenAI Application Development Framework]  🚀 Build GenAI application quick and easy 💬 Easy to interact with GenAI agent in code using structure data and chained-calls syntax 🧩 Use Agently Workflow to manage complex GenAI working logic 🔀 Switch to any model without rewrite application code,1411,0.543,0.667,0.8,0.167,1.0,https://github.com/AgentEra/Agently,Yes,
18,1B_2D,covalent,AgnostiqHQ/covalent,Pythonic tool for orchestrating machine-learning/high performance/quantum-computing workflows in heterogeneous compute environments.,844,0.537,0.667,1.0,0.333,0.568,https://github.com/AgnostiqHQ/covalent,Yes,
19,1B_2D,Qwen-Agent,QwenLM/Qwen-Agent,"Agent framework and applications built upon Qwen>=3.0, featuring Function Calling, MCP, Code Interpreter, RAG, Chrome extension, etc.",11097,0.531,0.5,0.3,0.429,0.854,https://github.com/QwenLM/Qwen-Agent,Yes,
20,1B_2D,LangBot,langbot-app/LangBot,🤩 Easy-to-use global IM bot platform designed for the LLM era / 简单易用的大模型即时通信机器人开发平台 ⚡️ Bots for QQ / QQ频道 / Discord / WeChat（微信）/ Telegram / 飞书 / 钉钉 / Slack 🧩 Integrated with ChatGPT（GPT)、DeepSeek、Dify、n8n、Claude、Google Gemini、xAI、PPIO、Ollama、阿里云百炼、SiliconFlow、Qwen、Moonshot(Kimi K2)、SillyTraven、MCP、WeClone etc. LLM & Agent & RAG,13114,0.529,0.667,0.6,0.667,0.252,https://github.com/langbot-app/LangBot,Yes,
